title,text,rating,reaction,who,date,website
Благодарность,"
 Хочу поблагодарить сотрудников абониментского отдела Абайского 
отделения Карагандинской области, за профессиональный подход к клиенту. 
 ",null,Positive,Владимир,24.04.2019,spr.kz
Бардак во всем,"Меняют тарифные планы в сторону увеличения оплаты без уведомления, 
ссылаясь на сбой.Высокие цены за трафик при низкой скорости.Нарушают 
закон РК требуя оплатой за услуги которыми не пользовались.В любом 
отделении постоянно слышны недовольства...",null,Positive,Батыр,24.01.2019,spr.kz
Благодарность сотрудникам,"
 Хочу выразить огромную благодарность за замену кабеля, сделали интернет
 Домашний менеджерам Айдосу и Алишеру за быструю и качественную 
выполнение своих работ, молодцы ребята карьерного роста вам.  ",null,Positive,Жания,21.01.2019,spr.kz
Казахтелеком,"
 Добрый день! Как будет работать, пока не знаем. Но сегодня 
устанавливали монтер Мекебаев Азамат - красавчик! Быстро! Оперативно! 
Компетентно! Большое ему спасибо! Заявку подавали 2 дня назад.  ",null,Positive,Алихан,29.12.2018,spr.kz
Качество услуг,"Самый худший интернет-провайдер, которых я видел. Самая худшая скорость
 в мире. Не могу спокойно скачать обновление для игры со скоростью 100 
КБ/с. Не могу нормально поиграть, а я между прочим профессиональный 
кибер-спортсмен. Очень огорчён, что...",null,Positive,Aloha,14.11.2018,spr.kz
Интернет ужасный," Интернет ужасный, виснет постоянно, фильм не могу посмотреть, грузится постоянно, у меня вопрос - за что я плочу деньги?  ",null,Negative,Сырым,5.12.2020,spr.kz
Ужасное обслуживание,"Ужасное обслуживание, в прошлом году на мой лицевой подключили три 
непонятных СИМ карты, и списывали с меня деньги за их обслуживание. Пол 
года ушло на то, что их отключить. В этом году вот уже месяц не могу 
отключить домашний телефон. Заявку подала...",null,Negative,Айгуль,3.12.2020,spr.kz
Отключение услуги,"4 ноября 2020 была отправлена и принята заявка на отключение 
стационарного телефона через ""ватсап"". Сообщили, что в течение 5 рабочих
 дней услугу отключат. Сегодня (18 ноября) узнаю, что моя заявка не 
отработана и вообще не принята или...",null,Negative,Ольга,18.11.2020,spr.kz
Самая худшая компания на свете,"С чего начнём. я работал месяц электро монтером и в день зарплаты мне 
дали 30000 тенге. Когда я спросил почему мне дали только 30 000, сказали
 20 % отняли с зарплаты. У меня один вопрос. о каких 20 % они говорят, 
если они со мной договор не...",null,Negative,Андрей,11.11.2020,spr.kz
Казахтелеком хуже нет,"ХУЖЕ Интернета никогда не видела. За что платим деньги??? Если работает
 то зависает на каждом шагу и так круглые сутки, каждый день. А так 
сутками не работает ИНТЕРНЕТ. Звонила 165 миллион раз БЕСПОЛЕЗНО. 
Результатов нет. Дети на дистанционном...",null,Negative,Бахытгуль,5.11.2020,spr.kz
Интернет супер,"Уже как 2 г. стали пользоваться услугами Казахтелекома, и 
тьфу-тьфу очень довольны. Никаких сбоев в работе, вск ровно всем 
рекомендую, хотя цена немаленькая, но свою цену отрабатывает. За свое 
спокойствие, сберечь нервы готовы и дальше быть вашими...",null,Positive,Дина,17.10.2018,spr.kz
Благодарность сотруднику,"Хочу выразить огромную благодарность сотруднику 
Казахтелекома Еликпаеву Ержану, который работает на Жибек жолы 100. За 
высокий трудовой показатель, профессионализм, креативность. Спасибо за 
ваше усердие и умение. Побольше бы таких отзывчивых и...",null,Positive,Динара,28.08.2018,spr.kz
Благодарность специалисту по продажам Жампеисовой Каламкас Ашимовне,"Хочется отметить и поблагодарить, за ответственную и 
позитивную работу Каламкас Ашимовну, которая сразу смогла найти такие 
слова и доводы, что я (после более десятка лет находящаяся в Алма ТВ) 
перешла в Казахтелеком в конце июня 2018 года и нисколько...",null,Positive,Турганбаева С.С.,28.08.2018,spr.kz
Рекомендую,"
            Установили интернет. Во всем устраивает. Отличный, цена 
выходит даже меньше, чем у других компаний провайдеров. сотрудники знают
 свое дело                    ",null,Positive,Аслан,28.07.2018,spr.kz
Благодарность,"Хотелось бы выразить благодарность за подключение к сети 
Мегалайн мастерам Куанышу и его напарнику (имени не знаю), работавшим 7 
марта в м-не Акжар. У меня в квартире очень неудачное расположение 
розеток, из-за этого долго сомневалась - стоит ли...",null,Positive,Ольга Зозулина,29.04.2018,spr.kz
Отзыв о telecom kz,"Интернет отличный (оптика), претензий нет. Претензии по 
качеству обратной связи, техподдержке. 1. Больше месяца не мог получить 
сим-карты. Несколько раз звонил, оставлял заявку. 2. Сейчас не могу 
тарифный план поменять (отключить ТВ). Оставлял на...",null,Negative,Пользователь услуг телеком.кз,5.11.2020,spr.kz
Самый худший интернет,"
            ХУЖЕ ИНТЕРНЕТА НИКОГДА НЕ ВИДЕЛ, ЗАВИСАЕТ НА КАЖДОМ ШАГУ, ВО
 ВСЕХ ИГРАХ ПИНГ ПОД 1000 И БОЛЬШЕ, ВСЕ ВРЕМЯ ВЫРУБАЕТСЯ, ВСЕ ВРЕМЯ 
ПИШЕТ ПОДКЛЮЧЕНО БЕЗ ДОСТУПА В ИНТЕРНЕТ, ЗА ЧТО МЫ ПЛАТИМ? ЗА ТОЧКУ 
ДОСТУПА? НИКОГДА НЕ ПОКУПАЙТЕ ЭТО.                    ",null,Negative,...,27.10.2020,spr.kz
Такие сотрудники не должны работать с населением,"
            Прошу руководство рассмотреть работу сотрудника АЙГЕРИМ 
ИШМУРЗИНОЙ, такой сотрудник не должен работать в обществе! Прошу 
предпринять меры к данному сотруднику, отзыв публикуется для дальнейших 
действий от руководства!                    ",null,Negative,123,20.10.2020,spr.kz
Казахтелеком хуже нет,"Здравствуйте. Зимой хотел отключить одну из дополнительных 
услуг, отключили все полностью вместе с городским телефоном и моей сим 
картой (перешел на алтел по их акции). Ладно сим карту восстановили в 
течение 10 дней (но были большие неудобства так...",null,Negative,Руслан,9.10.2020,spr.kz
Плохой интернет,"
            Позвонишь 165, интернет норм., через некоторое время опять 
зависает и так всегда. МАФИЯ бессмертна!                    ",null,Negative,Я,6.10.2020,spr.kz
Очень хороший и грамотный сотрудник,"Хочется похвалить и поблагодарить очень хорошего, грамотного
 и заботливого сотрудника Казахтелекома в г. Тараз Светлану Алиеву! 
Светлана позвонила нам. Вежливо, профессионально и понятно объяснила о 
новых тарифах, нам сразу же захотелось...",null,Positive,Дмитрий Ким,20.04.2018,spr.kz
Благодарю сотрудника Василевскую Ольгу,"Самый отзывчивый и приятный оператор. У нас были проблемы с 
подключением, Ольга сама звонила и все выясняла у других отделов о нашей
 проблеме. Неоднократно перезванивала нам, чтобы уточнить те или иные 
данные. Человек, бескорыстно выполняющий свою...",null,Positive,Тамара,17.04.2018,spr.kz
Благодарность инженеру Даулетову,"
            Выражаю огромную благодарность инженеру Казактелеком 
Даулетову Б. Быстро и доступно объяснил причину отсутствия интернета. 
Грамотно устранил неполадки.                    ",null,Positive,Наталья,17.03.2018,spr.kz
Благодарность сотруднику фирмы,"
            Хочу выразить благодарность электромонтеру 6-го разряда 
Керим Исламбеку Дархановичу за его профессионализм, честность и 
оперативность. Свою работу выполнил в короткий срок и качественно. 
Спасибо Вам за профессиональных сотрудников.                    ",null,Positive,Гульнара Мамраинова,14.03.2018,spr.kz
Спасибо сотрудникам головного офиса,"Хочу добавить на мое сообщение, что вчера через Инстаграм я 
связалась сотрудниками Казахтелеком и описала им проблему. Оказывается 
меня без согласия подключили к услуге Семейное решение. Сегодня с утра 
позвонили, извинились и сказали, что проблема...",null,Positive,Майя,26.02.2018,spr.kz
Жалоба,"Обращаюсь к руководству Казахтелекома Илийского района с 
жалобой что уже больше месяца не могу подключить интернет так как нету 
кабеля что была подана заявка, когда будет ответа не знает сам главный 
инженер. Почему когда подавали заявку сказали что...",null,Negative,Эльвира,29.09.2020,spr.kz
Плохой сервис,"Сутки не работает интернет, дети, которые находятся на 
дистанционном обучении, не имеют возможности присутствовать на уроках! 
Ни один из контактов Казахтелекома не отвечает в течение суток! Хочу 
отказаться от услуг Казахтелекома из-за ненадежности и...",null,Negative,Галия Габбасова,28.09.2020,spr.kz
Мне не проводят интернет Мегалайн,"Мы проживаем в городе Алматы, Наурызбайский район. Дом 
оформлен на маму пенсионерку, вдову участника войны она является 
тружеником тыла, имеет медали, и приравнивается к участнику войны. В 
связи с карантином мне понадобился интернет, так как у меня...",null,Negative,Надежда,10.09.2020,spr.kz
Жалоба,"Выражаю своё негодование по поводу ненужной возни с 
изменением всяких внутренних регламентов, таких, например, с какими 
клиентами будут ваши операторы разговаривать, а с какими - нет!
Тратили бы лучше наши деньги на действительно нужные вещи,...",null,Negative,Анна,4.08.2020,spr.kz
Позор,"Назвали компанию когда-то Казахтелеком, зря., опозорили 
приставку Казах, надо переименовать в Навозтелеком. Качество услуг - 
ниже плинтуса, цены - высокие, обслуживание - нулевое и хамское. 
Руководство не работает со своими сотрудниками, сотрудникам...",null,Negative,Nazarbayev,10.07.2020,spr.kz
Благодарность Боте,"
            Хочу сказать спасибо Саиновой Ботагоз за оперативную работу.
 Если неправильно написала фамилию, заранее извините.                   
 ",null,Positive,Ляззат,14.02.2018,spr.kz
Отличная работа,"
            Связался с отделом ремонта Казахтелекома. Аскар и Айнура 
очень хорошо обслужили и объяснили как самому настроить их услуги. Очень
 благодарен вам, ребята                    ",null,Positive,Диас,25.09.2017,spr.kz
Благодарен Кадырову Мухиту,"Алматинская обл., г. Талгар, Абылайхана, д. 86, 19.09.2017 
г. 15:00 обслуживал менеджер Кадыров Мухит, так вот хотелось бы выразить
 благодарность и сказать во все отделения бы таких специалистов, и 
набирайте пожалуйста мужчин они лучше доносят...",null,Positive,Алишер,19.09.2017,spr.kz
Выполнение заказа качественно,"Агентство «EZ Solutions» выражает признательность компании 
«ICT-Marketing» за своевременное и качественное выполнение заказа на 
маркетинговое исследование методом Mystery Shopping по изучению качества
 обслуживания среди партнёров HP. Проведенное...",null,Positive,Сергей.,5.07.2017,spr.kz
Благодарность сотрудникам,"Здравствуйте, давно не приходилось общаться с Казахтелеком и
 я не ожидала, что ваш сервис стал таким отличным. Спасибо, операторы, 
молодцы. Дважды обращалась по поводу интернета (пользуюсь ID VIP) - 
второй раз буквально сегодня, после проблем с...",null,Positive,Елена,26.06.2017,spr.kz
Ужасная работа,"Десять дней ваши сотрудники не могут решить вопрос с 
подключением контракта на 3 года Счета на оплату эппопея в 3 года
Здравствуйте, объясните мне пожалуйста, что в вашей компании происходит?
 Уже больше 3 лет мне не приносят квитанции на оплату...",null,Negative,Жанна,9.07.2020,spr.kz
Ужасно,"Добрый день. Со 2.07 ваши сотрудники не могут решить вопрос 
подключения по контракту на 3 года по адресу: Айманова, дом 103, кв. 37.
 Приписали несуществующий долг и молча отклонили заявку. Хотя ваши 
услуги полностью отключены 22.07.2017 г., а данный...",null,Negative,Жанна,9.07.2020,spr.kz
Самый худший интернет,"
            ПРОСТО ИГРАЮ КАТКУ ПИНГ ПОД 1000, И ОН ПРОСТО БЕРЕТ И 
ВЫЛЕТАЕТ, НЕНАВИЖУ ВАШ ИНТЕРНЕТ ВООБЩЕ НЕ УМЕЕТЕ ДЕЛАТЬ ИНТЕРНЕТЫ!      
              ",null,Negative,...,3.07.2020,spr.kz
Установка интернета,"Здравствуйте, в 2019 году, хотела провести домашний 
интернет, но после недельного ожидания, отказали, по техн. причинам. Но,
 каждый месяц приходит счёт, за не предоставленный интернет. Звонила, 
ходила, все без толку, во время карантина писала...",null,Negative,Асия,24.06.2020,spr.kz
Стабильно первые с конца,"Живу в небольшом селе, относятся как к скоту. Не 
рентабельные мы, инет хотим нормальный, ахаха. Воюю с этой организацией 
сколько себя помню, присылают техника раз в месяц на жалобу (чаще - 
тупо: ""техник у вас был, у вас всё классно"")....",null,Negative,Гражданин РК,21.06.2020,spr.kz
Хочу выразить благодарность Сабытову Самату и Курмангалиеву Бауыржану,"15.05.2017 примерно 15.00 пропал интернет, сама пыталась его
 наладить, но безуспешно. Позвонила на 165, мне сказали, что приедут 
механики (если честно то думала, что сидеть нам без инета до конца 
недели), но уже примерно 19.00 приехали Сабыров Самат...",null,Positive,Ремез Люба,16.05.2017,spr.kz
Хочу выразить благодарность сотрудникам,"Огромная благодарность сотрудникам компании Казахтелеком, а 
именно электромонтерам Кашкарову Биржану, и Амирешеву Ерлану за их 
качественную работу. За скорость, пунктуальность, компетентность. Я 
очень доволен их работой. Спасибо Казахтелеком за таких...",null,Positive,Ержан,12.05.2017,spr.kz
Благодарность сотруднику,"Выражаю благодарность оператору №2 на телефоне 160 Аиме за 
качественное и квалифицированное обслуживание 29 марта 2017 года. Она 
вначале дала консультации по подключению интернета на домашнем IDnet, но
 поскольку эта функция не сработала, при...",null,Positive,Утепова Нурия,31.03.2017,spr.kz
Благодарность Казахтелекому,"Что вы тут все взъелись на Казахтелеком. Подключил интернет и
 ТВ - все отлично работает без перебоев. Причем пользуюсь интернетом от 
Казахтелеком уже 5 лет и все устраивает вполне. У кого то не работает 
интеренет или ТВ, что вы сразу пишите плохие...",null,Positive,Санек,18.02.2017,spr.kz
Обслуживание ужасное,"В отделе Казахтелекома Алматы, по улице Шаляпина, сидела 2 
часа. Так и не смогла закончить. Переоформить талон взяла и 
переоформили. Потом берите другой талон и идите по остальным вопросам к 
другим. А потом они опять направляют в зал общий. В зале...",null,Positive,Бакыт,13.12.2016,spr.kz
Счета на оплату эппопея в 2 года,"Здравствуйте, объясните мне пожалуйста, что в вашей компании
 происходит? Уже больше 2 лет мне не приносят квитанции на оплату услуг!
 Уже длительное время пытаюсь добиться, сначала, что бы приносили 
квитанцию--бесполезно, теперь, что бы выставляли...",null,Negative,Ирина,19.06.2020,spr.kz
Самый отстойный интернет,"
            Самый наихудший интернет, отказывайтесь все, задолбали уже в день по 10 раз отключаются.                    ",null,Negative,Бакытжан Момынов,13.06.2020,spr.kz
Отвратительно,"
            Как можно в 2020 году находясь в столице иметь столь 
отвратительный интернет, мало того, что пинг постоянно скачет, так даже 
нет элементарного адекватного соединения. Вердикт таков: можете уйти к 
другим, уходите! Не пожалеете.                    ",null,Negative,Amir,4.06.2020,spr.kz
Сколько можно на мне зарабатывать,"Постоянно в квитанции оплаты АЛСЕКО за услуги КАЗАКТЕЛЕКОМ 
графа ""Долг""! А за что долг, если 2019 год закрыт без долгов, оплачиваю 
услуги месяц в месяц??? Сегодня звонила на 160 в очередной раз, опять 
ничего и оператор, не зная что сказать, ТРУБКУ...",null,Negative,Елена,22.05.2020,spr.kz
Нестабильный интернет,"
            Интернет прыгает, обещали 500 мб сек., я купил самый дорогой
 роутер, подключил по проводу к компу интернет, живу 1 и что вы думаете?
 И 10 мб сек. нету! Интернет в играх зависает прыгает.                  
  ",null,Negative,Киберспортсмен,16.05.2020,spr.kz
Благодарность за качественный хостинг,"Как постоянный клиент компании хотел бы выразить уважение 
профессионализму сотрудников и искренне поблагодарить за качественный 
хостинг. Наше сотрудничество длится уже не один год и нет причин жалеть 
об этом. Особенно радует оперативная и адекватная...",null,Positive,Суиндыков Эльдар,7.11.2016,spr.kz
Всем доброго времени суток,"Всем доброго времени суток! Сейчас читала комментарии. И 
жутко и смешно) не знаю откуда столько плохих отзывов, я не жалуюсь. 
Интернет с телевидением давно подключили всё работает прекрасно. Дома 2 
ноутбука 1 компьютер и поголовно сотовые с выходом в...",null,Positive,Райхан,3.10.2016,spr.kz
Разочарование,"Предложили свой пакет интернета, обещали две недели 
бесплатного обслуживания. Обманули, обсмеяли. А не было у нас таких 
акций. И даже претензии не принимаются. Пишите на сайт. Молодцы, ребята!
 Поражена вашей беспардонностью.
Подключилась 12 августа,...",null,Positive,Матвеева Татьяна Алексеевна,7.09.2016,spr.kz
Хвалим,"
            Г. Астана, выражаю благодарность оператору бюро ремонта 
Светлане, за оперативность, компетентность и высокую культуру 
обслуживания.                    ",null,Positive,Майра Жагипаровна,6.09.2016,spr.kz
Неблагодарность,"
            В первые в жизни встречаю выходные без любимых каналов. 
Оплатил услуги и сразу заверили, что подключение автоматическое. В итоги
 обманули. Настоящий произвол. Завтра пойду и откажусь от этой конторы с
 таким громким названием.                    ",null,Positive,Gocha,29.07.2016,spr.kz
Худший,"Самая худшая компания по телекомуникаций это Казахтелеком. 
Спросите чем он хуже. Хуже тем что он монополист в Казахстане. Каким 
оператором вы не пользовались бы по любому вы были клиентом 
Казахтелекома, из за этого и низкая качество интернета. Пока...",null,Negative,ExDevil,27.04.2020,spr.kz
Руководству Казтелеком,"У моей дочери длительное время отключили телевидение и 
интернет приписали ей долг за чужие счета. В декабре прошлого года она 
неоднократно ходила в телеком который находится на Р. Зорге в районе 1 
Алматы показывала свои квитанции что у нее нет долга...",null,Negative,Мира,22.04.2020,spr.kz
Самый худший интернет в мире,"
            Тупо вылетает в конце катки, пытаюсь зайти заново и уже конец игры.                    ",null,Negative,.,21.04.2020,spr.kz
Ужасный интернет,"Вечно можно смотреть на 3 вещи, как горит огонь, как течёт 
вода, и как пинг поднимается до 900. В онлайн игры не поиграть, интернет
 всегда падает, скорость низкая. Обычно пинг 80-100 (что тоже очень 
много), но он часто поднимается до 500-900, это...",null,Negative,Психомастурбатор,19.04.2020,spr.kz
Когда будет интернет,"Сил нету больше ждать, месяц тому назад написала заявку 
чтобы мне подключили интернет. Сама купила роутер, вчера пришли монтеры 
все установили, связи нету. Ваша заявка отработана не полностью. Звонила
 на 160, никто не может ответить когда конкретно у...",null,Negative,Жанна,17.04.2020,spr.kz
Благодарность Надырову Решату,"
            Выражаем благодарность за отличную работу Надырову Решату. 
Интернет тормозил в течении 2 месяцев, пришел, исправил и ушел.:) ) Все 
быстро, четко, а главное - качественно. Спасибо большое,)) а 
КАЗАХТЕЛЕКОМУ побольше таких сотрудников.                    ",null,Positive,Корлан,15.07.2016,spr.kz
Безответственность,"Вы что творите! По телефону говорите одно, при встрече 
другое. Вы совсем обнаглели. Людей клиентов за баранов держите. Все 
нервы вымотали! 
Домашний телефон и не могу установить. Это куда дело годится. 
Поувольнять вас всех надо и обновить весь...",null,Positive,Dima,8.07.2016,spr.kz
Благодарность сотруднику Ивану,"Сегодня обращалась в 165 Казахтелеком. Очень отзывчивые, 
операторы, сотрудники, все предельно ясно, понятно объяснили! Огромная 
благодарность Ивану, совместно со мной настроил мне интернет, idnet, 
wi-fi, спокойно, терпеливо все мне объяснял, хотя в...",null,Positive,Карлыгаш,28.06.2016,spr.kz
Сроки и учет проплат,"
            Очень сильно благодарим, ждем не дождемся, когда все вознесутся.                    ",null,Positive,Народ,27.06.2016,spr.kz
Отличная компания,"Казахтелеком очень хорошая и заботящаяся о своих клиентах 
компания. За 6 лет пользования их услугами у меня ни разу не было 
ситуации, когда я принимал антидепрессанты, после вызова их 
специалистов. Специалисты эти очень очень квалифицированные люди...",null,Positive,Кайсар,10.03.2016,spr.kz
Хватит обворовывать абонентов,"Просто ужасное отношение к клиентам. Ранее пользовался 
тарифным планом VIP gamer, с начала года, без какого-либо предупреждения
 поотключали многие сервисы входящие в данный пакет, но при этом цена 
вместо того чтобы понизится наоборот повысили, при...",null,Negative,Павел,15.04.2020,spr.kz
Самый плохой интернет в мире,"
            Казахтелеком, ПИНГ УЖАСНЫЙ 500, IPTV ЗАВИСАЕТ, в онлайн игры
 не поиграть, САМ СИГНАЛ ПРОПАДАЕТ, и за это все ПЛАЧУ 10000 ТЕНГЕ, 
скорость до 8 мб в секунду, но даже её нет, короче КРОХОБОРЫ ВЫ.        
            ",null,Negative,Айдар,14.04.2020,spr.kz
Интернет плохой,"
            ПОЖАЛУЙСТА,не покупайте у них интернет.                    ",null,Negative,.,9.04.2020,spr.kz
Обращайтесь к конкурентам,"
            Оставили заявку на установку интернета 30 марта 2020года, 
поставили в очередь на 2 апреля, звоним 6 апреля, говорят неизвестно 
когда придут, хотите быстрее обращайтесь к конкурентам! Спасибо за совет
 так и сделаем! Отдел продаж ноль!                    ",null,Negative,Анастасия,6.04.2020,spr.kz
Не рекомендую,"
            Самый убитый инет в мире, ставить этот инет это всё равно 
что допустить ошибку в жизни, не тратьте деньги на эту залупу.          
          ",null,Negative,Noname,30.03.2020,spr.kz
Благодарность за обслуживание,"
            Адрес: Кажымукана, 8. Подключение вай-фая домой. Номер: 87752243633.                    ",null,Positive,Асем,23.02.2016,spr.kz
Не работает интернет,"Тел.: 87114122143.

Здравствуйте! Прошу начальство Казахтелекома по Западно-Казахстанская 
область, город Уральск, поселок Жангала, принять меры по обслуживанию 
услуг Мегалайн и ID тв. Ну невозможно уже, постоянно не работает 
интернет и не...",null,Positive,Ergen Kaiyrliev,24.12.2015,spr.kz
Отвратительное обслуживание,"
            Доброго времени суток! Я заключила договор на предоставление
 услуг: IDTV+ Интернет по адресу КерейЖанибек хандар 433 квартира 
27.10.2015 года. Прошло более 20 дней нас, до сих пор не подключили. 
Прошу Вас разобраться и принять все не обходимые меры.                  
  ",null,Positive,Перизат,7.11.2015,spr.kz
Качество сервиса,"№ дог. №378559 28.10.2015 год. 11-10 час. Я, Корабаева 
Мейрамхан, приехала менять пульт управления в Астанателеком, ул. Ауэзова
 кабинет 2. Мне дали старый, грязный использованный пульт. Пульт 
оказался не рабочим, дома я не могла подключить ТВ., снова...",null,Positive,Мейрамхан,28.10.2015,spr.kz
Плохая работа сотрудников,"Здравствуйте, руководство Казахтелеком-Алматы, я, Кан Г. И. 
(мои данные у Вас имеются), являюсь Вашим абонентом (интернет, телефон) 
оплату за пользование услуг своевременно оплачиваю. Однако 10.09.2015г в
 около 20ч. вечера при включении компьютера...",null,Positive,Кан Геннадий Иванович,11.09.2015,spr.kz
Самый ужасный интернет в мире,"
            Вы никогда не умели делать свою  работу, пожалуйста, 
увольтесь и сидите дома! Не мешайте людям работать!                    ",null,Negative,Alimzhan,27.03.2020,spr.kz
Не советую,"
            Помойка интернет полная, НЕ ТРАТЬТЕ ДЕНЬГИ.                    ",null,Negative,Казахтелеком,18.03.2020,spr.kz
Колхоз бардак позор,"
            В прошлом году за месяц до продажи квартиры закрыла лицевой 
счёт и сдала все оборудования. Год прошёл до сих начисляется долг, уже 
коллекторы начали звонить хамить, ничего не хотят слушать требуют 
оплатить долг и все.                    ",null,Negative,Асем,3.03.2020,spr.kz
Самый худший интернет в мире,"
            Самый худший интернет в мире, ВООБЩЕ НИКОМУ НЕ СОВЕТУЮ, вы 
будете только и делать что тратить свои нервы!                    ",null,Negative,..,19.02.2020,spr.kz
Телеком,"
            Все хвалебные отзывы пишут сотрудники Телекома!                    ",null,Negative,Лина,19.02.2020,spr.kz
Качество услуг,"Я из Атырау, вынуждена обратиться на официальный сайт в 
надежде, что руководство отреагирует на мое письмо, Подключившись к 
услугам Мегалайна, IDTV. ID-fonа, сталкиваюсь с постоянными проблемами 
по данным услугам, Регулярными стали отключения...",null,Positive,Маша,17.08.2015,spr.kz
Благодарность Жанатаеву Бауржану,"
            Хочу выразить благодарность и уважение Вашему сотруднику 
ЖАНАТАЕВУ БАУРЖАНУ за его профессионализм, такт в общении! Именно такие 
люди показывают ""лицо"" фирмы и 
отношение к клиентам. Спасибо ему большое и удачи во всем! Клиент - 
БАЙГИЛЬДИН ВАЛЕРИЙ.                    ",null,Positive,Валерий Байгильдин,10.07.2015,spr.kz
Просим,"Мне нравится Интернет Казахтелеком. Я бы хотел ещё 
подключить Интернет в частном доме, домашний телефон: 2312114. Мне 
говорят непонятное, что мне нужно поменять номер в частном доме. Если 
надо поменять номер, почему же мне не могут дать номер,...",null,Positive,Иса,1.07.2015,spr.kz
Благодарность специалисту Джаппарову Самату,"
            Я благодарен Самату. Очень рад за его грамотную работу, 
относится внимательно, аккуратно. Спасибо! Гульнар.                    ",null,Positive,Гульнар,15.05.2015,spr.kz
