title,text,rating,reaction,who,date,website
Ужасно,"Почти месяц прошел,как переоформил 
квартиру,должен был мастер прийти переделать вай-фай,и на этом всё 
завтраками кормят а мастера всё нет,и интернет тоже нет",1,Negative,Иван,18.11.2020,valrating.com
"Уже год ждем, заявку дали а тольку ноль","Город Арысь, улица Дулатова129.Уже 
скоро год будет как ждем интернета. Заявление написали год назад до сих 
пор не установили. Качество общение персонала в филиале  Арысь УЖАСНО. 
ГОВОРИТ ЖДИТЕ ЖДЁМ, СКОЛЬКО ЕЩЕ НАДО ЖДАТЬ??? 87711487757",1,Negative,ЖАНАР,08.11.2020,valrating.com
Дерьмо! если можно так выразиться!,"Реально не компетентные,не 
квалифицированные специалисты!Хуже некуда!За что интересно они получают 
свой заработок?! Полный абсурд и беспредел!В прошлом году ждали месяца 
два эту бригаду!Целых два месяца они не могли доехать и починить 
модем!Сейчас та же проблема, дозвониться не могу! Ужасный 
сервис,серьезно наглые и ужасные сотрудники! Был бы другой интернет 
провайдер,сервис с радостью перешла бы к ним!",1,Negative,Зарина,26.10.2020,valrating.com
Коментарии ,"Все их услуги просто ужас, ничего не работает платим деньги за воздух...не советую никому с ними связываться....",1,Negative,Мария,21.10.2020,valrating.com
Казахтелеком,"Ужасная компания! Были проблемы и 
разборки с ней в 2015, но подумала ладно, возможно исправились, 
подключила на свою голову.  В связи с карантином захотела приостановить 
интернет, пришла, оплатила, пообещали, что остановят, но не тут то было,
 пришла квитанция! Пошла отключить насовсем, и у них карантин,и офисы не
 работают, ладно, после карантина пришла, сдала оборудование, оператор 
заверил, что все отключено и ..  снова квитанция, позвонила оператору, 
та заверила, что разберутся и ... опять квитанция, как вам верить? 
Обман, на обмане, идти снова в офис, стоять в очередях и слушать 
обещания? А на счету уже более 14 тыс тг? Это политика компании? И они 
ещё предлагают отключение онлайн, это сделать на их условиях 
здравомыслящему невозможно, пришлите селфи с удостоверением у лица!  Да 
вы меня очно обманываете глядя в глаза, а что там могут сделать с моими 
данными онлайн даже страшно представить.",1,Negative,Ёжик лесной,04.10.2020,valrating.com
"ПИНГ 800, СКОРОСТЬ ВЫГРУЗКИ МЕНЬШЕ 0,8","УЖАС!!! Деньги дерут, а делать не 
хотят нифига! Уже 2 месяца воюю, никаких результатов нет. Кто только не 
приезжал к нам, даже комиссию собирали и толку 0. Мастера ничего сделать
 не могут-линия перегружена, скорости нет, надо ставить еще один ящик 
какой то, а они не хотят. Скоро пойду в суд! Надоели уже! Говно сервис, 
говно связь, компания отстой!",1,Negative,Кристина,24.09.2020,valrating.com
Казахтелеком,"Подал заявку на подключение интернета
 в  казахтелеком в Петропавловске. Уже десять дней прошло,тишина. Плохое
 начало.Если подключение для них уже проблема, что будет дальше не 
знаю.Не зря видно о них всегда плохие отзывы.",2,Negative,Жасулан,18.09.2020,valrating.com
5,"Сравнивая цены и качество услуг, 
любой адекватный человек должен понять одно, как бы не хаяли 
казахтелеком, альтернативы нет. Есть траблы, они решаемы. В случае с 
конкурентами, единственное желание - застрелиться, нежели дозвониться.
В последнее время кт начали уделять очень большое внимание маркетинг, 
отвечая даже в сети простым пользователям. Мой запрос обработали в 
форуме, я даже удивился.",5,Positive,Sinuous,05.12.2011,valrating.com
3,"Так себе оператор, пока альтернатив в 8 микрорайоне нет. Качество тоже посредственное",3,Negative,salex,05.12.2011,valrating.com
3,"Фактически монополист. Да качество 
хорошее, но это норма! обслуживание вежливое, технологии современные. 
Интернет по тарифу хит 4010 тенге, а это десятая часть зарплаты, для 
услуги связи однозначно дорого. А международные и междугороднии 
переговоры вообще невероятно. Связь важный компонент развития 
современного общества. Даёшь конкурентную среду!",3,Negative,Valeri,03.12.2011,valrating.com
2,"Главный минус Казахтелекома это Цены!! дорого! Но качество, нужно отдать должное, хорошее.",2,Negative,maks,02.12.2011,valrating.com
4,"Жил в Екатеринбурге и Новосибирске. 
Работал какое-то время в европе (во Франции). Так что могу сравнивать. 
Казхтелеком, конечно, фактически монополист (хотя последнее время эта 
ситуация исправляется), но качество и цены, поверьте на европейском 
уровне. Во всяком случае, в сфере предоставления широкополосного инета. 
Работать есть над чем, не спорю, но оценка не 3 и уж точно не 2.",4,Positive,Palantyre,02.12.2011,valrating.com
Отключение,"Три месяца назад отключила все услуги Казтелекома и сдала оборудование 
Так они до сих пор начисляют плату, звонят, шлют СМС и требуют оплатить долг.
Звоню 160, хожу в офисы каждую неделю, оставляю претензии и заявления - все без толку.
УЖАС
Бесят уже!!!!
Что делать, чтобы ОТ ВАС УЖЕ НАКОНЕЦ ОТВЯЗАТЬСЯ ????
Люди, не связывайтесь с ними, связь ужасная и дорогая, за что платим - не понятно!",1,Negative,Марина,15.11.2019,valrating.com
Жалобы ,"Беспонтовый казахтелеком,вечно все 
виснет, телевизор,телефон за что мы платим блин,зато вечно звонят и 
предлагают каналы, за какие блин которые постоянно зависают, это Ваш 
казахский сервис долбаный",1,Negative,Акмарал,13.11.2019,valrating.com
Отвратительная работа,"Казахтелеком регулярно и своевременно
 получает деньги за якобы оказанные услуги. В течении месяца 
ремонтировали интернет. Для перерасчёта вымогают, чтобы я тратил своё 
время и посетил их абонентский отдел. Не могу понять, почему платя за 
интернет и телефон, я должен тратить своё время и деньги, чтобы оставить
 заявление. Об этом мне заявила оператор со 160 Дарина под номером 7.",1,Negative,Андрей,13.11.2019,valrating.com
Самое наихудшая компания,"Самая колхозная самая ужасная 
компания . Интернет дерьмо.дозванится не реально.бабки накручивают 
всегда.советую всем избавится от этих ....",1,Negative,Жомарт,13.11.2019,valrating.com
Чтоб вы сцуки так жили как мне интернет поставляете.,"Интернет просто говнище пинг 
зашкаливает мать вашу  а ведь деньги берут исправно и попробуй только не
 заплати а цены за такой сервис откуда такие цены п****и с****е ненавижу",1,Negative,Руслан,09.11.2019,valrating.com
За что переплата,Подскажите пожалуйста. подключила тариф 2месяца назад за 5т а плачу по 7т дозвонится невозможно. Что делать.?,1,Negative,Татьяна,08.11.2019,valrating.com
Настолько наглые работники. Ужасное обслуживание,"Уже 4 месяца мне не могут 
переподключить тариф. Каждую неделю кормят своими обещаниями. Зато 
звонят каждый день и говорят о какой-то задолженности и пени. Просто 
кошмар.",1,Negative,Виктория,01.11.2019,valrating.com
Казахтелеком отвратительно!!!,"Ужасная компания, отделение 
На шаляпина, сидят наглые и не квалифицированные специалисты, купила 
квартиру не могу отказаться от их услуг, не дают никакую информацию, 
вообще связываться с подобными шарашкиными контвроми не стоит((( мне не 
нужно ничего от них????, не дают возможность снять номер , 
отвратительно, отстой",1,Negative,Ирина,28.10.2019,valrating.com
Персонал,"Хотел впервые воспользоваться услугой интернета от Казахтелекома. К сожалению не прочитал сначала отзывов(((. 
В общем Ещё даже не начал пользоваться услугой, как уже столкнулся с вопиющим беспорядком!!!!
Дал заявку на 3х годовой пакет, а как в итоге оказалось, мне собираются 
подключить 2х годовой пакет( соответственно и абонент.плата тоже 
меняется) при этом копия заявки , где черным по белому написано , что 
заявка на 3года у меня на руках.
Дозвонился до девушки , что понимала заявку, на вопрос почему так, 
услышал ответ : ВНИМАНИЕ - хотела чтобы было быстрее. Что за бред, несут
 Ваши сотрудники?
В городе Аксу, такие сотрудники
То есть сотрудник на свое усмотрение меняет тарифы
БРЕД КАКОЙ-ТО
Надеюсь хоть качество предоставленных услуг не разочарует",1,Negative,Руслан,22.10.2019,valrating.com
Обманутый абонемент,"Казактелеком самый ужасный услуга 
связи, там как я поняла работают не компетентные сотрудники, мы решили 
подключить ID TV, оказывается у нас она была подключена они не проверив 
ещё подключили, и начисляли сверху долги, в кокои то день после  оплаты 
услуги  по лиц. Счету, мне звонят говорят что у меня долги и начисляется
 пеня, я иду в офис на казбекби - шарипова,  там менеджер Талгат кстати 
старшии  смотря в компьютер , говорит извините наша ошибка сделаем 
перерасчёт, но я должна какои то долг за 3 мес, еще оплатить ту же 
сумму, что уже оплатила и потом они отправят мне на карточку остальную 
сумму перерасчета, я стала требовать заведующего Талгат сказал её нет а 
она ходила рядом по залу, подошла сама тоже смотря в компьютер 
подтвердила слова менеджера, оказалось я ничего не должна. Я обращаюсь 
руководству Казахтелеком вы откуда берете таких работников , и почему 
должны страдать абоненты ваши, решили что мы откажемся от ваших услуг и 
подключим другую связь, очень жаль что в такои компании работают не 
компетентные люди которые не могут сложить цифры а абонент должен из-за 
их ошибки переплачивать. Компания как я поняла не дорожит своим именем. 
Надеюсь моя жалоба не останется без усмотрение.",1,Negative,Галия,17.10.2019,valrating.com
Мне норм,"Живу в поселке, Как только провели 
интернет, сразу подключил, (модем использую свой) Мегалайн турбо с IDTv,
 пользуюсь уже лет 7+ все отлично. Вечерами бывают сбои, но это все 
проходит. Пару дней назад решил сменить тариф на ""Black 3"" посмотрим что
 изменится",4,Positive,Павел,15.10.2019,valrating.com
ID TV - ошибка моей жизни.,"Заключил договор с АО ""Казахтелеком"",
 думал выиграть от объедения услуг (интернет, телевидение и сот.связь) и
 улучшения в качестве, но как водится с нашим государством, выиграть 
может только монополист. Но теперь по порядку:
ID TV. При переходе на новый тип телевидения пришлось отказаться от 
проверенного временем Alma TV. Это было главной ошибкой. ID TV это глюк 
21 века цифрового Казахстана. Вроде пришли, установили свой маленький 
модем, все настроили. И тут началось, этот модем будь он проклят, 
перезагружается, когда захочет. Только горел индикатор ""зеленым"", бах и 
горит ""красным"", ТВ пропало, пошла перезагрузка аппарата. И так может 
продолжаться хоть целый час. Включение-отключение, танцы с бубнами и др,
 ни чего не дает. Уже плюёшь на все и идешь заниматься др делами. Звонки
 в колл-центр результата не дают ни какого. Отправляют специалистов 
своих которые приходят в момент когда приставка работает. Говорят - ""ну 
все же у вас в порядке!"". Но жить же их не оставишь у себя дома. И 
получается замкнутый круг.
Редкостная дрянь этот наш Казахтелеком со своим ID NET и ID TV.",1,Negative,Константин,07.10.2019,valrating.com
Интернет,"Просто ужасный интернет в течении 
нескольких лет! Ответ один : выключите - включите модем, замерьте 
скорость интернета- всё мы вышлем бригаду и так из месяца в месяц в 
деревне ничего не работает и найти начальника не удаётся отвечают 
рабочие мол мы даже и не знаем кто он!  Мой совет руководству : ПРОСТО 
ИДИТЕ И САМИ ........ ! интернет неделями  вообще не работает бригады 
друг на друга всё спирают и толку 0000000000 , почему люди должны 
платить всю абонентскую плату если услуга не предоставляется. Когда 
власть уже будет сажать этих ......!",1,Negative,Виталий,20.09.2019,valrating.com
Отзыв,"За что мы платим деньги...??? 
Постоянно зависает id-tv, ответ операторов один и тот же, перезагрузите,
 включите выключите, мы Вам отправим мастера, только что то проблему, 
это не решает!!!! Ужасное качество обслуживания!",2,Negative,Евгений,15.09.2019,valrating.com
Казахтелеком,"Сотрудников Казахтелеком отдела 
продаж города Алматы надо менять, то они трубку не берут когда на них 
переключают с номера 160, то при подключении интернета   просят чтоб 
через соц сети предоставил все личные документы или приехать к ним, а то
 отключат интернет. Позвонив  160 Казахтелеком я уже как несколько лет 
считаюсь их абонентам так как подавал все документы а у отдела продаж 
Казахтелеком я не считаюсь их абонентам хотя давиче несколько лет 
пользовался  их услугами  интернета, такое ощущение что у них база не 
одна. На 2 месяца лета отключал интернет и телефон чтоб не платить и в 
начале учебного года заного подключить но уже с более дешевым пакетом, 
так они решили номер сменить. Общаясь по телефону повышают голос 
разговаривая с клиентам, перебивают, бросают трубку.",1,Negative,Митяй,10.09.2019,valrating.com
Казахтелеком,"Переехал в новую квартиру, решил 
подключить интернет от КТ Black3S, менеджер прискакал в тот же день 
заключать договор, сказал через неделю подключат. Идет 3 неделя, звоню 
160 говорят на следующей неделе подключат. Этот питух менеджер телефон 
не поднимает и не перезванивает, чтобы с ним поговорить каждый раз иду к
 новым соседям попросить позвонить, так как он записывает все номера с 
которых я звонил и тупо не отвечает.",1,Negative,Askar,10.09.2019,valrating.com
Казактелеко але епта,Операторы как же вы зае*али уже тел не поднимают,1,Negative,Талгат,09.09.2019,valrating.com
ничего не работает с момента подключения!,"Ну в общем дело такое въехали в 
новостройку, и в 2013 году подключились к казахтелекому. В момент 
подключения эти морально отстающие люди допустили ошибку, потом целый 
месяц или два ее исправляли, в общем еле еле якобы исправили и началась 
веселуха полная инет не работает совсем а телевидение зависает постоянно
 что приходится перезапускать приставку! Прошло уже почти 8 лет эти 
упыри ни черта не могут  сделать со своей этой проблемой! Вечно 
отправляют каких то монтеров да установщиков (уже миллион людей) которые
 ничего не могут сделать только руками разводят якобы у Вас все в 
порядке, дело в станции, и так продолжается уже 8 лет при этом у меня 
сменилось 3 тарифных плана, а эту проблему никак не могут решить эти 
нубы! Сейчас у меня стоит тарифный план на 500 мегабит и телевидение 
около 130 каналов и та же проблема этих людей называющих себя 
специалистами скорость просела еще хуже чем на других тарифах при  на 1 
тарифе скорость была 50 мегабит давали всего 10-15, на 2 тарифе была 
скорость 100 мегабит давали всего 30-50, и о чуда на тарифе 500 мегабит 
дают скорость скачивания 30-34 это по локальной сети с 8-ми жильным 
кабелем, скорость выгрузки это вообще пздц 0 пробивает ее тупо нету, 
телик тоже не работает. Ходишь в абонентский отдел там одни хамы сидят и
 ругаются, звонишь на колл центры им (абонентский и технический) там 
тоже хамят, приходят домой дауны тоже хамят а самое интересное что 
втирают детский лепет, думают что я совсем идиот и ничего не знаю. В 
общем я их выпроваживаю. Казахтелеком это просто днище какого никогда не
 было все скупили а качества нихера нету, куда смотрят антимонопольщики я
 не знаю, воюю уже столько лет и нет на них управы! Они тупо не хотят 
решать свои же проблемы, а когда дело касается до оплаты так не забывают
 присылать счет, лучше бы свою часть договора выполняли нубасы, мы то 
оплачиваем услуги которых они не предоставляют! Хотел свалить от них так
 новые дома не подключены ни к билайну ни к алма тв, в общем кроме 
казтелекома донного нет альтернативы, покупать роутеры алтела, теле 2, и
 кселл- актив тоже бесполезно эти компании каз телеком выкупил и их 
качество стало таким же дерьмовым как у самого казтелекома! У меня уже 
нервов не осталось с этими даунами ругаться, инет и телевидение 
превращается просто в выплески бешенства из-за всего этого говна. В 
общем не советую Казахтелеком!",1,Negative,Хусейн,27.08.2019,valrating.com
Отказ от услуги,Слов нет одни эмоции.,1,Negative,Гульмира,23.08.2019,valrating.com
казахтелеком ПОЗОР!,"Жалею, что подписал 3-ёх годичный 
договор, дебильная компания, навязанный телефон не подключают, скорость 
нета не увеличивают, доп.точку TV не могут подключить, оборудования 
говорят не хватает, регистрационный код для личного кабинета не дают, 
зато про абонентную плату наверно не забыли, в прятки играют с 
клиентами, говоришь, звонишь, пишешь всё бесполезно, говорят, что 
перезвонят и пропадают, прячутся!)))",1,Negative,Батырбек,14.08.2019,valrating.com
Не исполнение договора,"г.Костанай, подписали договор на 
оказание услуг интернета, перешли на тариф Black 3S, подписали контракт 
на 3 года, и какой думаете итог ??? прошло 3 недели как подписали 
договор ни скорости ни интернета нужного, звонили в службу тех. 
поддержки все только и говорят ждите. Бред полный, Будем скорее всего 
отписываться",2,Negative,Бауржан,14.08.2019,valrating.com
Казахтелеком ,"Решила впервые поставить idnet  и тв,
 мало того что дорого, оборудование устаревшее, так еще установщики 
(меня дома не было, была мама) проложили кабель как попало, за мебелью, 
которую я даже могу отодвинуть, они просто кинули кабель, нет слов 
просто. В понедельник откажусь от их услуг",1,Negative,Асель,10.08.2019,valrating.com
Шарашкина контора,"Вот один из последних претензий, оставленных мною на их сайте:
""Вот мне интересно: когда ваша шарашкина контора начнет набирать 
нормальных работников? Я уже молчу о грамотных специалистах, потому что 
это вообще из области ненаучной фантастики.
Я уже неоднократно писал вам, но толку от этого нет. Приедут , почешут 
тыковки, проверят кабель и соединения, поковыряются в компе – и все! 
Потому что проблема не на моей стороне. И ваши “специалисты” постоянно в
 этом убеждаются.
Суть проблемы: ежедневные отключения интернета на срок от 10 секунд до 
получаса. Причем, вместе с интернетом частенько отключается и 
стационарный телефон. То есть, зумм (гудок) есть, а вот позвонить никуда
 не получается – сразу же сброс. Ни на 160, ни на 165, ни на городские, 
ни на мобильные… Даже в скорую или в полицию не позвонить!
Сегодня, 31 июля 2019 года в 10-00 часов интернет снова отключился 
вместе с телефоном. Пришлось с мобильного звонить на 165. Через 
несколько минут мне позвонила девушка и сообщила, что питание отключено,
 и что “ребята скоро подключат генератор”. После этого прошло уже больше
 часа, а ребята все никак не доберутся до генератора. Или они даже с ним
 разобраться не могут?!
В общем, ваша кадровая политика оставляет желать либо скорейшего и 
полнейшего разорения, либо, отбросив все кумовство и взяточничество, 
найма по-настоящему грамотных специалистов, способных обеспечить 
нормальную и стабильную работу интернета и телефона, за которые, кстати,
 всегда производится своевременная оплата.
Копии этого обращения я отправляю в СМИ, своим знакомым блоггерам и на 
различные сайты, где обсуждается вот такая “работа” подобных вашей 
контор.
С искренним неуважением,
пока еще пользователь ваших “услуг”.""

К слову. эта проблема повторилась еще дважды в течении дня.",1,Negative,Вынужденный пользователь,01.08.2019,valrating.com
Казахтелеком-кал,"С 2011 года пользуемся интернетом от 
казахтелеком, последние годы работает с сильными перебоями, монтеры 
объясняют тем, что давно пора менять кабель, старый неисправен. Мы ведь 
платим за услуги и обслуживание, когда же соизволят поменять кабель?! 
Родители решили подключить idtv, в компании сказали, что пока не 
поменяют кабель, смысла нет в подключении телевидения-так же будет 
зависать. Более того, моему отцу предложили поставить дополнительный 
столб за свой счет, через который они возможно когда-нибудь кинут 
кабель. Я в шоке от их наглости, до чего же мерзкие люди!",1,Negative,Умида,27.07.2019,valrating.com
Казахтелеком,"Самый хе*овый интернет. Скорость 
намного ниже чем заявлено, модемы убогие, с другой комнаты уже не ловит.
 В падлу поставить даже 1 балл из пять. Работайте на совесть мошенники",1,Negative,Токаев,28.06.2019,valrating.com
