title,text,rating,reaction,who,date,website
Качество сервиса,"№ дог. №378559 28.10.2015 год. 11-10 час. Я, Корабаева 
Мейрамхан, приехала менять пульт управления в Астанателеком, ул. Ауэзова
 кабинет 2. Мне дали старый, грязный использованный пульт. Пульт 
оказался не рабочим, дома я не могла подключить ТВ., снова...",,Positive,Мейрамхан,28.10.2015,spr.kz
Плохая работа сотрудников,"Здравствуйте, руководство Казахтелеком-Алматы, я, Кан Г. И. 
(мои данные у Вас имеются), являюсь Вашим абонентом (интернет, телефон) 
оплату за пользование услуг своевременно оплачиваю. Однако 10.09.2015г в
 около 20ч. вечера при включении компьютера...",,Positive,Кан Геннадий Иванович,11.09.2015,spr.kz
Самый ужасный интернет в мире,"
            Вы никогда не умели делать свою  работу, пожалуйста, 
увольтесь и сидите дома! Не мешайте людям работать!                    ",,Negative,Alimzhan,27.03.2020,spr.kz
Не советую,"
            Помойка интернет полная, НЕ ТРАТЬТЕ ДЕНЬГИ.                    ",,Negative,Казахтелеком,18.03.2020,spr.kz
Колхоз бардак позор,"
            В прошлом году за месяц до продажи квартиры закрыла лицевой 
счёт и сдала все оборудования. Год прошёл до сих начисляется долг, уже 
коллекторы начали звонить хамить, ничего не хотят слушать требуют 
оплатить долг и все.                    ",,Negative,Асем,3.03.2020,spr.kz
Самый худший интернет в мире,"
            Самый худший интернет в мире, ВООБЩЕ НИКОМУ НЕ СОВЕТУЮ, вы 
будете только и делать что тратить свои нервы!                    ",,Negative,..,19.02.2020,spr.kz
Телеком,"
            Все хвалебные отзывы пишут сотрудники Телекома!                    ",,Negative,Лина,19.02.2020,spr.kz
Качество услуг,"Я из Атырау, вынуждена обратиться на официальный сайт в 
надежде, что руководство отреагирует на мое письмо, Подключившись к 
услугам Мегалайна, IDTV. ID-fonа, сталкиваюсь с постоянными проблемами 
по данным услугам, Регулярными стали отключения...",,Positive,Маша,17.08.2015,spr.kz
Благодарность Жанатаеву Бауржану,"
            Хочу выразить благодарность и уважение Вашему сотруднику 
ЖАНАТАЕВУ БАУРЖАНУ за его профессионализм, такт в общении! Именно такие 
люди показывают ""лицо"" фирмы и 
отношение к клиентам. Спасибо ему большое и удачи во всем! Клиент - 
БАЙГИЛЬДИН ВАЛЕРИЙ.                    ",,Positive,Валерий Байгильдин,10.07.2015,spr.kz
Просим,"Мне нравится Интернет Казахтелеком. Я бы хотел ещё 
подключить Интернет в частном доме, домашний телефон: 2312114. Мне 
говорят непонятное, что мне нужно поменять номер в частном доме. Если 
надо поменять номер, почему же мне не могут дать номер,...",,Positive,Иса,1.07.2015,spr.kz
Благодарность специалисту Джаппарову Самату,"
            Я благодарен Самату. Очень рад за его грамотную работу, 
относится внимательно, аккуратно. Спасибо! Гульнар.                    ",,Positive,Гульнар,15.05.2015,spr.kz
Профессиональные сотрудники,"
            Хочу сказать большое спасибо сотрудникам компании Кашкарову 
Биржану и Сеисебек Аману за быструю, качественную и профессиональную 
работу. Если бы все сотрудники компании так ответственно подходили к 
своей работе, не было бы такого негатива.                    ",,Positive,Николай,29.04.2015,spr.kz
